location,date,PM2.5,PM10,CO,NO2,SO2
New York,2026-02-01,10.5,15.2,0.4,12.1,2.5
New York,2026-02-02,12.8,18.5,0.5,14.3,3.1
New York,2026-02-03,8.2,12.1,0.3,10.2,2.0
New York,2026-02-04,15.4,22.8,0.6,18.5,4.2
New York,2026-02-05,25.6,35.2,1.2,28.4,6.5
New York,2026-02-06,35.8,48.5,1.8,38.2,9.1
New York,2026-02-07,18.2,25.4,0.7,20.1,4.5
New York,2026-02-08,12.1,17.2,0.4,13.5,2.8
London,2026-02-01,15.2,20.1,0.6,18.4,3.5
London,2026-02-02,18.5,25.4,0.8,22.1,4.2
London,2026-02-03,12.4,18.2,0.5,15.2,2.8
London,2026-02-04,30.2,42.1,1.5,35.4,8.2
London,2026-02-05,45.8,60.2,2.2,52.1,12.5
London,2026-02-06,20.1,28.5,0.9,25.2,5.1
London,2026-02-07,15.4,21.2,0.6,18.2,3.8
London,2026-02-08,10.2,14.5,0.3,11.5,2.1
